industry,kind_of_business,month,avg_sales,lowest_sales,highest_sales
Food & Beverage,Food and beverage stores,July,62202.46,49732.0,81426.0
Food & Beverage,Food and beverage stores,June,60510.0,47813.0,79471.0
Food & Beverage,Food and beverage stores,March,60686.77,48123.0,80050.0
Food & Beverage,Food and beverage stores,May,62274.23,49655.0,79628.0
Food & Beverage,Food and beverage stores,November,61647.62,48842.0,82147.0
Food & Beverage,Food and beverage stores,October,61073.46,48583.0,80891.0
Food & Beverage,Food and beverage stores,September,59311.46,47478.0,78216.0
Food & Beverage,Grocery stores,April,52771.31,42236.0,68404.0
Food & Beverage,Grocery stores,August,55148.31,43431.0,71825.0
Food & Beverage,Grocery stores,December,57904.54,46658.0,77546.0
Food & Beverage,Grocery stores,February,49017.08,40061.0,62339.0
Food & Beverage,Grocery stores,January,52835.69,42985.0,68099.0
Food & Beverage,Grocery stores,July,55633.31,44559.0,72953.0
Food & Beverage,Grocery stores,June,54139.23,42877.0,71214.0
Food & Beverage,Grocery stores,March,54719.31,43434.0,73003.0
Food & Beverage,Grocery stores,May,55822.62,44607.0,71460.0
Food & Beverage,Grocery stores,November,55046.08,43724.0,73388.0
Food & Beverage,Grocery stores,October,54763.62,43536.0,72607.0
Food & Beverage,Grocery stores,September,53214.08,42642.0,70156.0
Food & Beverage,Supermarkets and other grocery (except convenience) stores,April,50420.0,40354.0,65091.0
Food & Beverage,Supermarkets and other grocery (except convenience) stores,August,52582.54,41357.0,68520.0
Food & Beverage,Supermarkets and other grocery (except convenience) stores,December,55573.38,44770.0,74469.0
Food & Beverage,Supermarkets and other grocery (except convenience) stores,February,46946.77,38400.0,59584.0
Food & Beverage,Supermarkets and other grocery (except convenience) stores,January,50721.46,41185.0,65318.0
Food & Beverage,Supermarkets and other grocery (except convenience) stores,July,53041.85,42598.0,69440.0
Food & Beverage,Supermarkets and other grocery (except convenience) stores,June,51628.31,40944.0,67737.0
Food & Beverage,Supermarkets and other grocery (except convenience) stores,March,52386.15,41542.0,70486.0
Food & Beverage,Supermarkets and other grocery (except convenience) stores,May,53300.85,42658.0,68066.0
Food & Beverage,Supermarkets and other grocery (except convenience) stores,November,52744.0,41897.0,70328.0
Food & Beverage,Supermarkets and other grocery (except convenience) stores,October,52338.15,41591.0,69432.0
Food & Beverage,Supermarkets and other grocery (except convenience) stores,September,50795.0,40710.0,67039.0
Food & Beverage,Warehouse clubs and superstores,April,36966.31,29350.0,46432.0
Food & Beverage,Warehouse clubs and superstores,August,39569.38,30574.0,49966.0
Food & Beverage,Warehouse clubs and superstores,December,48302.31,39129.0,61072.0
