Unnamed: 0,month,year,naics_Code,kind_of_business,industry,sales,category,total_records
185,April,2022,All Other Home Furnishings Stores,All other home furnishings stores,Home Goods & Electronics,21850.77,Retail,1560
186,April,2022,Electronics & Appliance Stores,Electronics and appliance stores,Home Goods & Electronics,7080.0,Retail,1560
187,April,2022,Household Appliance Stores,Household appliance stores,Home Goods & Electronics,1731.0,Retail,1560
188,April,2022,Electronics Stores,Electronics stores,Home Goods & Electronics,5349.0,Retail,1560
189,April,2022,Building Material & Garden Supply Stores,Building mat. and garden equip. and supplies dealers,Home Goods & Building Supplies,46152.0,Retail,624
190,April,2022,Building Material & Supplies Dealers,Building mat. and supplies dealers,Home Goods & Building Supplies,39589.0,Retail,624
191,April,2022,Paint & Wallpaper Stores,Paint and wallpaper stores,Home Goods & Building Supplies,1386.0,Retail,624
192,April,2022,Hardware Stores,Hardware stores,Home Goods & Building Supplies,3479.0,Retail,624
193,April,2022,Food & Beverage Stores,Food and beverage stores,Food & Beverage,76368.0,Food,780
194,April,2022,Grocery Stores,Grocery stores,Food & Beverage,68404.0,Food,780
195,April,2022,Supermarkets & Grocery Stores,Supermarkets and other grocery (except convenience) stores,Food & Beverage,65091.0,Food,780
196,April,2022,"Beer, Wine & Liquor Stores","Beer, wine, and liquor stores",Food & Beverage,5710.0,Food,780
197,April,2022,Health & Personal Care Stores,Health and personal care stores,Health & Personal Care,32435.0,Retail,312
198,April,2022,Pharmacies & Drug Stores,Pharmacies and drug stores,Health & Personal Care,26772.0,Retail,312
199,April,2022,Gasoline Stations,Gasoline stations,Fuel & Gasoline,64776.0,Retail,312
200,April,2022,Clothing & Clothing Accessories Stores,Clothing and clothing access. stores,Fashion & Accessories,25904.0,Retail,1248
201,April,2022,Clothing Stores,Clothing stores,Fashion & Accessories,17794.0,Retail,1248
202,April,2022,Men's Clothing Stores,Men's clothing stores,Fashion & Accessories,21850.77,Retail,1248
203,April,2022,Women's Clothing Stores,Women's clothing stores,Fashion & Accessories,3628.0,Retail,1248
204,April,2022,Family Clothing Stores,Family clothing stores,Fashion & Accessories,9716.0,Retail,1248
205,April,2022,Other Clothing Stores,Other clothing stores,Fashion & Accessories,1506.0,Retail,1248
206,April,2022,Shoe Stores,Shoe stores,Fashion & Accessories,3361.0,Retail,1248
207,April,2022,Jewelry Stores,Jewelry stores,Fashion & Accessories,21850.77,Retail,1248
208,April,2022,"Sporting Goods, Hobby, Book & Music Stores","Sporting goods, hobby, musical instrument, and book stores",Sports & Recreation,8733.0,Retail,624
209,April,2022,Sporting Goods Stores,Sporting goods stores,Sports & Recreation,5431.0,Retail,624
210,April,2022,"Hobby, Toy & Game Stores","Hobby, toy, and game stores",Sports & Recreation,1886.0,Retail,624
211,April,2022,Book Stores,Book stores,Sports & Recreation,634.0,Retail,624
212,April,2022,General Merchandise Stores,General merchandise stores,General Merchandise,65483.0,Retail,936
213,April,2022,Department Stores,Department stores,General Merchandise,10702.0,Retail,936
214,April,2022,Department Stores (Except Discount),Department stores(excl. discount department stores),General Merchandise,2628.0,Retail,936
215,April,2022,Discount Department Stores,Discount dept. stores,General Merchandise,8074.0,Retail,936
216,April,2022,Other General Merchandise Stores,Other general merchandise stores,General Merchandise,54781.0,Retail,936
217,April,2022,Warehouse Clubs & Supercenters,Warehouse clubs and superstores,Food & Beverage,46432.0,Food,780
218,April,2022,All Other General Merchandise Stores,All other gen. merchandise stores,General Merchandise,8349.0,Retail,936
219,April,2022,Miscellaneous Store Retailers,Miscellaneous store retailers,Miscellaneous,15685.0,Retail,468
220,April,2022,"Office Supplies, Stationery & Gift Stores","Office supplies, stationery, and gift stores",Office Supplies & Gifts,2343.0,Retail,468
221,April,2022,Office Supplies & Stationery Stores,Office supplies and stationery stores,Office Supplies & Gifts,812.0,Retail,468
222,April,2022,"Gift, Novelty & Souvenir Stores","Gift, novelty, and souvenir stores",Office Supplies & Gifts,1531.0,Retail,468
223,April,2022,Used Merchandise Stores,Used merchandise stores,Miscellaneous,2086.0,Retail,468
224,April,2022,Nonstore Retailers,Nonstore retailers,Miscellaneous,102317.0,Retail,468
225,April,2022,Electronic Shopping & Mail-Order Houses,Electronic shopping and mail-order houses,Home Goods & Electronics,92322.0,Retail,1560
226,April,2022,Fuel Dealers,Fuel dealers,Fuel & Gasoline,3553.0,Retail,312
